name,value,unit,category,context,vartype,source,min_val,max_val,enumvals,boot_val,reset_val,description,is_predefined_tunable,custom_category,is_runtime_modifiable,eligible_for_autotuning,autotuning_exclusion_reason_code,autotuning_exclusion_reason_detail,tuning_min,tuning_max,scale,impact_tier,tuning_priority,tuning_notes,hardware_relative,resource_type,requires_restart,has_tuning_metadata
log_truncate_on_rotation,off,,Reporting and Logging / Where to Log,sighup,bool,default,,,,off,off,Truncate existing log files of same name during log rotation.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
max_logical_replication_workers,4,,Replication / Subscribers,postmaster,integer,default,0,262143,,4,4,Maximum number of logical replication worker processes.,False,other,False,True,,,0.0,10.0,linear,extensive,5.0,Logical replication worker cap; bounded for stability in non-replication-centric tuning runs.,False,,True,True
max_parallel_apply_workers_per_subscription,2,,Replication / Subscribers,sighup,integer,default,0,1024,,2,2,Maximum number of parallel apply workers per subscription.,False,other,True,True,,,0.0,8.0,linear,extensive,5.0,Logical replication apply parallelism; low-impact for non-replication benchmarks but safely tunable.,False,,False,True
max_wal_senders,10,,Replication / Sending Servers,postmaster,integer,default,0,262143,,10,10,Sets the maximum number of simultaneously running WAL sender processes.,False,other,False,True,,,0.0,10.0,linear,extensive,5.0,WAL sender process cap; safely bounded for environments without heavy replication fanout.,False,,True,True
md5_password_warnings,on,,Connections and Authentication / Authentication,user,bool,default,,,,on,on,Enables deprecation warnings for MD5 passwords.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
multixact_member_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,16,131072,,32,32,Sets the size of the dedicated buffer pool used for the MultiXact member cache.,False,other,False,True,,,4.0,64.0,log,extensive,5.0,MultiXact member SLRU buffers (pages); bounded for stable memory usage.,False,,True,True
multixact_offset_buffers,16,8kB,Resource Usage / Memory,postmaster,integer,default,16,131072,,16,16,Sets the size of the dedicated buffer pool used for the MultiXact offset cache.,False,other,False,True,,,4.0,64.0,log,extensive,5.0,MultiXact offset SLRU buffers (pages); bounded for stable memory usage.,False,,True,True
notify_buffers,16,8kB,Resource Usage / Memory,postmaster,integer,default,16,131072,,16,16,Sets the size of the dedicated buffer pool used for the LISTEN/NOTIFY message cache.,False,other,False,True,,,4.0,64.0,log,extensive,5.0,LISTEN/NOTIFY buffers (pages); bounded for safe memory footprint.,False,,True,True
parallel_leader_participation,on,,Resource Usage / Worker Processes,user,bool,default,,,,on,on,Controls whether Gather and Gather Merge also run subplans.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
password_encryption,scram-sha-256,,Connections and Authentication / Authentication,user,enum,default,,,"['md5', 'scram-sha-256']",scram-sha-256,scram-sha-256,Chooses the algorithm for encrypting passwords.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
plan_cache_mode,auto,,Query Tuning / Other Planner Options,user,enum,default,,,"['auto', 'force_generic_plan', 'force_custom_plan']",auto,auto,Controls the planner's selection of custom or generic plan.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
quote_all_identifiers,off,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,,,,off,off,"When generating SQL fragments, quote all identifiers.",False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
recovery_init_sync_method,fsync,,Error Handling,sighup,enum,default,,,"['fsync', 'syncfs']",fsync,fsync,Sets the method for synchronizing the data directory before crash recovery.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
recovery_prefetch,try,,Write-Ahead Log / Recovery,sighup,enum,default,,,"['off', 'on', 'try']",try,try,Prefetch referenced blocks during recovery.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
recovery_target_action,pause,,Write-Ahead Log / Recovery Target,postmaster,enum,default,,,"['pause', 'promote', 'shutdown']",pause,pause,Sets the action to perform upon reaching the recovery target.,False,other,False,True,,,,,linear,extensive,5.0,,False,,True,False
